preverb	Class	Level
PST	I	1
already	I	1
EMPH	I	1
PROG	I	1
then	I	1
go.to.do	II	2
PFV	II	2
NEG	II	2
spontaneously	II	2
in.my.direction	II	2
yet	II	2
around	III	3
around.2	III	3
in.vain	IV	4
EMPH.2	IV	4
then.2	IV	4
suddenly	IV	4
PROH	IV	4
FUT	IV	4
ITER	V	5
soon	VI	6
first	VI	6
NEG.EMPH	VI	6
CESS	VI	6
at.last	VI	6
INCH	VII	7
not.much	VII	7
very	VII	7
thoroughly	VIII	8
PROB	VIII	8
almost	VIII	8
OPT	VIII	8
PL	VIII	8
relating.to	IX	9
REP	IX	9
some	IX	9
early	IX	9
from.behind	IX	9
AUG	IX	9
no.longer	IX	9
on.arrival	IX	9
in.secret	IX	9
enough	IX	9
for.nothing	IX	9
initially	IX	9
same.way	IX	9
here.an d.there	IX	9
still	IX	9
along	IX	9
